--- Brightest Objects within 900.0px of (571.5, 571.5) ---
ID    X          Y          Mag        Dist      
1     573.18     573.75     10.94      2.81      
2     1008.03    126.55     12.30      623.33    
3     171.89     874.07     15.18      501.24    
4     156.51     746.62     15.76      450.43    
5     511.45     1118.05    16.04      549.84    
6     195.11     215.27     16.72      518.24    
7     541.99     210.02     16.99      362.68    
8     359.06     259.11     17.33      377.78    
9     1017.33    1033.78    17.53      642.23    
10    316.35     1104.53    17.55      590.95    
